,Title,Comment_ID,Text,Name,like,Date
0,fOHfq1YmdLw,UgxNtovatIagHWQ-Deh4AaABAg,莎白好美,乖小孩子,0,2022-06-26T19:58:15Z
1,fOHfq1YmdLw,Ugz0YS2seoVGk1pwIzd4AaABAg,\ 莎白 / \ 莎白 / \ 莎白 /,BUBU,1,2022-06-24T17:15:04Z
2,fOHfq1YmdLw,Ugx3asbk2wGgGxhNiO14AaABAg,主持人好像沒有名字介紹^^”,Anny 妮,0,2022-06-24T14:36:17Z
3,fOHfq1YmdLw,UgxAuf8jidgPkERtf_V4AaABAg,老師好活潑哦！ 講中文超道地😮 <br>一直被明達的頭髮吸引 翹一根,張宸禎,0,2022-06-24T13:31:28Z
4,MHno1xrsmUM,Ugy-5EPPtz1nIfHuIfZ4AaABAg,看见瓦基真人 下次听书更有带入感了！ 下一本读什么忠实听众来报到！,BT Lim,0,2022-06-27T06:34:56Z
5,MHno1xrsmUM,Ugx9ErWjQo2jjpCOMS14AaABAg,受益良多謝謝您🙏,LEVII,1,2022-06-24T07:38:55Z
6,MHno1xrsmUM,UgxacfVyZyYoaMumMIh4AaABAg,瓦基說什麼建議都可以😂是吧？<br>我覺得麥克風太大，遮住了您的下巴，感覺好想把麥克風推走🤣🤣,jade wang,1,2022-06-24T05:14:28Z
7,gGvKNEuCRis,UgzPJkLb3M-iH1j1Zgt4AaABAg,欸不是這個魔性笑聲是怎樣XD,於鑫,1,2022-06-20T02:43:53Z
8,gGvKNEuCRis,UgxRRzt-wU0LaTQkkG14AaABAg,沒有一杯酒解決不了的，有，就喝兩杯,Phoebe Liu,1,2022-06-18T09:00:06Z
9,gGvKNEuCRis,UgzI7pvt0cYzbnqgsJJ4AaABAg,好好笑XDDDDD <br>所以黑黑是正常的嗎,Han Hsu,0,2022-06-18T06:49:52Z
10,gGvKNEuCRis,UgwebKvGntUcl2FN1cV4AaABAg,兩位都好可愛😂<br>前面好好笑<br>還以為做出來會是地獄甜點<br>殊不知看起來好好ㄘ,Wu Erin,0,2022-06-17T19:41:13Z
11,gGvKNEuCRis,UgxUO-0f-Tr6R09ACJh4AaABAg,想看達達喝酒,黃仲毅,2,2022-06-17T15:48:49Z
12,gGvKNEuCRis,UgwxIu4M06brCRBB6BB4AaABAg,原本以為失敗了，沒想到切片起來還可以，感覺最後的口感可以多說一點WW<br>許願感覺達達很會喝，我想看達達調酒 !!!!!!!,張宸禎,4,2022-06-17T15:18:28Z
13,c6yvJIcPB1c,UgyVKjIL7q5hj7qF1FN4AaABAg,少年超好笑ＸＤ,郭秀雯,0,2022-06-14T15:48:29Z
14,c6yvJIcPB1c,Ugy7ohfegZ2uZsV3S3h4AaABAg,哦喜欢那个玻璃心美女🥰,Lilo Stich,0,2022-06-14T02:02:31Z
15,c6yvJIcPB1c,UgwSHT69togE96hmzt54AaABAg,👍,vivien265,0,2022-06-10T18:37:22Z
16,c6yvJIcPB1c,UgzvO1PB-f-yBGGcdYB4AaABAg,"<a href=""https://www.youtube.com/watch?v=c6yvJIcPB1c&amp;t=12m48s"">12:48</a>眼小臉圓平眉，怎麼像浮世繪裡面的女性",壓力,2,2022-06-04T06:38:21Z
17,c6yvJIcPB1c,UgyK76ot9M0UoZDQ6B54AaABAg,希望可以推出改變命運相關的，面手相好像都是說：既定的命運。<br><br>改變命運都說多做善事balabala但社會多的是好人命不好，想看算命又能改變命運，改善問題的方法。,Zih Mu,1,2022-06-02T23:33:10Z
18,c6yvJIcPB1c,Ugwc_Hj6OFObNRVdS0t4AaABAg,之前訪問路人，街頭看相超有趣，希望之後還能繼續做,M9757027,1,2022-06-02T16:17:38Z
19,c6yvJIcPB1c,UgwO1eUFQDn3HqRe-kp4AaABAg,嗯很棒的工作氣氛 這樣子才能創造出好的作品 期待第三季,papa12b,10,2022-06-02T06:33:18Z
20,c6yvJIcPB1c,UgyFMucnW9cgwx3WwF94AaABAg,期待期待,陳怡安,0,2022-06-02T01:47:23Z
21,c6yvJIcPB1c,UgztO5etijI2K2sfj6t4AaABAg,真的會被胖胖鬼跟到，導致變胖嗎？,greenfinger1186,0,2022-06-01T06:35:01Z
22,c6yvJIcPB1c,Ugy40aga15PXE9Ipj254AaABAg,請問之後還會訪問路人嗎？,牙牙,2,2022-05-31T17:09:11Z
23,c6yvJIcPB1c,Ugw_INBeF1G4MvzhbxV4AaABAg,哈哈這集以為我在看dcard調查局,Lin Zeppe,3,2022-05-31T08:48:04Z
24,c6yvJIcPB1c,Ugybk1T8nki54FUObth4AaABAg,好喜歡歡樂的風格呀！ <br>畫面顏色也很舒服☺️,P&C,0,2022-05-30T04:10:32Z
25,c6yvJIcPB1c,Ugw1jkpDF0OzPajnveR4AaABAg,超愛少年老師！🥰❤️😍,移動岑寶,5,2022-05-29T04:56:42Z
26,c6yvJIcPB1c,UgxNEdQ2o72uCLB_LXF4AaABAg,太吵了，不知道在说什么,wang jenny,6,2022-05-29T03:53:48Z
27,c6yvJIcPB1c,Ugzk7yCQ-Mvz1hBIQmZ4AaABAg,再見簡少年！歡迎大家一起加入命運設計系,林俊宇,37,2022-05-28T21:58:24Z
28,c6yvJIcPB1c,UgzqnrQgJF9uYEKVpct4AaABAg,感覺好差喔 為什麼中間下面那個女生都要打碼啊 其他都不用,秋風,2,2022-05-28T18:00:49Z
29,c6yvJIcPB1c,UgzgHKUGgG88BsbVfg54AaABAg,QAQ 期待第三集～<br>小夥伴們也好歡樂啊～,LCM,2,2022-05-28T15:23:18Z
30,c6yvJIcPB1c,UgyV-ZwMLIYor1XNv094AaABAg,👍👍👍😊😊😊,徐佩君,0,2022-05-28T14:50:43Z
31,c6yvJIcPB1c,UgwqKOLPJtXqFTIA2LB4AaABAg,耶可以解訂閱了,yong hsieh,5,2022-05-28T14:13:11Z
32,c6yvJIcPB1c,UgyIP2K83JvHORUBA8Z4AaABAg,耶 有課程～～,Yeah˙𐃷˙,2,2022-05-28T13:21:16Z
33,KW1VSjPDXOM,UgyzuJrBTHHCBwXAl054AaABAg,那個excuse me 好好笑！,ning Ah,1,2022-05-20T09:55:25Z
34,KW1VSjPDXOM,UgxBSzMC3YrABJyKZfh4AaABAg,我小時候很黏父母 但是不知道什麼時候開始就疏遠了 也不太跟父母說話 面相能看出來嗎,cheung yy,1,2022-05-20T08:40:23Z
35,KW1VSjPDXOM,UgxWiD5FUFKQtGnWAAV4AaABAg,簡少年可以出一集那個 怎麼看 不是浪子嗎,Winnie Teo,2,2022-05-19T11:11:57Z
36,KW1VSjPDXOM,Ugy2b8SF6XoLNpr5Xyp4AaABAg,最近的街訪問題真的無聊到讓人看不下去.......<br>可惜了簡少年,Shin Y,0,2022-05-19T08:38:24Z
37,KW1VSjPDXOM,UgzAoHTAzUIWIu-OrGF4AaABAg,我额头超饱满 眼睛也很大 但我跟我妈关系超差 根本不会说我爱你 因为我压根不爱她,Zoe Lee,2,2022-05-19T06:22:44Z
38,KW1VSjPDXOM,Ugys8LP-jIg7p0edQqN4AaABAg,請問眼神沒有桃花什麼意思呢,Albee Chang,1,2022-05-18T19:19:08Z
39,KW1VSjPDXOM,UgyOlKXXy7_GoBBzK6d4AaABAg,這集有點短，才看得剛來勁，就結束了,jiajiajiji,4,2022-05-18T03:37:28Z
40,KW1VSjPDXOM,UgwBUNIupRgOkE1OnRd4AaABAg,這集少年好厲害！,Wa An,0,2022-05-18T01:13:57Z
41,KW1VSjPDXOM,Ugxw-t8A6LJEVtKpMdB4AaABAg,我天天都跟我媽說愛你哈哈,佩,0,2022-05-16T07:46:01Z
42,KW1VSjPDXOM,UgyKmiwLzgFQ-u58otR4AaABAg,"<a href=""https://www.youtube.com/watch?v=KW1VSjPDXOM&amp;t=5m34s"">5:34</a> 最後一對情侶好可愛",wiling C,9,2022-05-15T15:50:52Z
43,KW1VSjPDXOM,Ugw4IDE9T5xOnVmoiyp4AaABAg,前面30秒多餘,黃上,0,2022-05-15T01:12:10Z
44,KW1VSjPDXOM,UgwKmFuUP7caUEulRCt4AaABAg,我额头饱满但是跟长辈缘不好哎，跟爸妈都不亲,Josie Han,4,2022-05-14T17:25:14Z
45,KW1VSjPDXOM,UgwenExNm4u1-28_2vF4AaABAg,口罩裡是JUSTEASY的口罩支架嗎,黃葳竑Neo,0,2022-05-14T16:21:58Z
46,KW1VSjPDXOM,UgxSMw21ZtgpqmsprK94AaABAg,👍👍👍😊😊😊,徐佩君,0,2022-05-14T15:29:47Z
47,KW1VSjPDXOM,UgzHJcsQ-wxbqRsB8bt4AaABAg,額頭怎麼樣算飽滿？,斗斗的減重日記,0,2022-05-14T14:03:17Z
48,KW1VSjPDXOM,Ugza71wp9EDfl5JjBZl4AaABAg,可惜不是上禮拜播~有幾個說眼睛大的那樣有算是眼睛大阿~還以為眼睛大要像陶晶瑩那樣的~才叫大~,LCM,0,2022-05-14T13:17:56Z
49,xAsHCwH6miw,UgzXuB9fLT0rQAnCnD54AaABAg,母親節快樂～～（覺得你們越拍越好了～讚讚❤,Ching,1,2022-05-13T14:37:43Z
50,ci1cCjWG39k,UgwWKZJ6zLXYSRwy_K14AaABAg,"📢PPA 漲薪節<br>5/10～5/20，精選8～10個財經訂閱專案，提供折扣優惠！<br>你可以用更低的價格學投資，幫自己加薪囉🤑<br><a href=""https://www.pressplay.cc/link/03143601"">https://www.pressplay.cc/link/03143601</a>",PressPlay Academy,0,2022-05-10T02:23:44Z
51,ci1cCjWG39k,UgzQktMUMrirPgeJsYR4AaABAg,愛你越久我越被動,於鑫,1,2022-05-07T05:33:40Z
52,ci1cCjWG39k,UgysQO-rQUuwEVLoszB4AaABAg,這集好好笑喔～～含金量也不低～～<br>（持有還是持久🤣🤣達達、漢堡請回答😆😆）,lalala lu,0,2022-05-07T03:17:11Z
53,7TZaCcAdSSk,UgwuG0_6h9g5AXBOuvN4AaABAg,Leslie老師衣服好可愛！,CHIEN-TSAI,0,2022-06-08T11:58:15Z
